MonitoringLocationIdentifier,ActivityStartDateTime,Ammonia-nitrogen_value,Ammonia-nitrogen_unit,Chloride_value,Chloride_unit,"Chlorophyll a, free of pheophytin_value","Chlorophyll a, free of pheophytin_unit",Copper_value,Copper_unit,Dissolved oxygen (DO)_value,Dissolved oxygen (DO)_unit,Escherichia coli_value,Escherichia coli_unit,Kjeldahl nitrogen_value,Kjeldahl nitrogen_unit,Microcystin_value,Microcystin_unit,Nitrate_value,Nitrate_unit,Nitrate + Nitrite_value,Nitrate + Nitrite_unit,Nitrite_value,Nitrite_unit,Orthophosphate_value,Orthophosphate_unit,Precipitation 24hr prior to monitoring event amount_value,Precipitation 24hr prior to monitoring event amount_unit,Specific conductance_value,Specific conductance_unit,Sulfate_value,Sulfate_unit,"Temperature, air_value","Temperature, air_unit","Temperature, water_value","Temperature, water_unit","Total Phosphorus, mixed forms_value","Total Phosphorus, mixed forms_unit",Total dissolved solids_value,Total dissolved solids_unit,Total suspended solids_value,Total suspended solids_unit,"Transparency, Secchi tube with disk_value","Transparency, Secchi tube with disk_unit",Turbidity_value,Turbidity_unit,pH_value,pH_unit
21IOWA_WQX-10520001,2024-12-04 14:00:00,,,35.0,mg/L,,,,,13.5,mg/L,260.0,MPN/100mL,0.47,mg/L,,,,,6.4,mg/L,,,0.02,mg/L,,,,,29.0,mg/L,,,0.2,deg C,0.06,mg/L,330.0,mg/L,2.0,mg/L,,,2.7,NTU,7.4,
21IOWA_WQX-10520001,2025-01-07 14:30:00,,,35.0,mg/L,1.0,ug/L,,,13.6,mg/L,63.0,MPN/100mL,0.61,mg/L,,,,,9.6,mg/L,,,0.04,mg/L,,,,,19.0,mg/L,,,0.3,deg C,0.08,mg/L,350.0,mg/L,12.0,mg/L,,,5.9,NTU,8.1,
21IOWA_WQX-10520001,2025-02-11 13:10:00,,,34.0,mg/L,,,1.5,ug/L,13.6,mg/L,,,1.6,mg/L,,,,,5.3,mg/L,,,,,,,,,24.0,mg/L,,,0.4,deg C,0.05,mg/L,330.0,mg/L,2.0,mg/L,,,2.9,NTU,8.0,
21IOWA_WQX-10520001,2025-03-04 13:00:00,,,33.0,mg/L,4.0,ug/L,,,12.8,mg/L,120.0,MPN/100mL,,,,,,,4.1,mg/L,,,,,,,,,38.0,mg/L,,,3.8,deg C,0.08,mg/L,320.0,mg/L,10.0,mg/L,,,4.3,NTU,8.2,
21IOWA_WQX-10520001,2025-04-02 13:45:00,0.14,mg/L,34.0,mg/L,22.0,ug/L,1.5,ug/L,10.8,mg/L,12000.0,MPN/100mL,0.71,mg/L,,,,,4.8,mg/L,,,0.04,mg/L,,,,,26.0,mg/L,,,12.6,deg C,0.16,mg/L,320.0,mg/L,64.0,mg/L,,,24.0,NTU,8.1,
21IOWA_WQX-10540001,2024-01-08 08:30:00,,,34.0,mg/L,4.0,ug/L,1.3,ug/L,12.6,mg/L,86.0,MPN/100mL,0.49,mg/L,,,,,0.6,mg/L,,,,,,,,,48.0,mg/L,,,1.7,deg C,0.04,mg/L,320.0,mg/L,4.0,mg/L,,,5.4,NTU,8.2,
21IOWA_WQX-10540001,2024-02-07 12:15:00,0.13,mg/L,28.0,mg/L,6.0,ug/L,1.7,ug/L,12.6,mg/L,73.0,MPN/100mL,0.72,mg/L,,,,,7.7,mg/L,,,0.06,mg/L,,,,,28.0,mg/L,,,2.7,deg C,0.18,mg/L,300.0,mg/L,56.0,mg/L,,,28.0,NTU,7.2,
21IOWA_WQX-10540001,2024-03-05 08:00:00,,,32.0,mg/L,6.0,ug/L,1.2,ug/L,10.8,mg/L,140.0,MPN/100mL,0.38,mg/L,,,,,1.9,mg/L,,,,,,,,,38.0,mg/L,,,8.7,deg C,0.05,mg/L,300.0,mg/L,4.0,mg/L,,,5.4,NTU,8.4,
21IOWA_WQX-10540001,2024-04-02 08:20:00,0.13,mg/L,26.0,mg/L,49.0,ug/L,5.7,ug/L,10.5,mg/L,5500.0,MPN/100mL,2.1,mg/L,,,,,3.5,mg/L,,,0.12,mg/L,,,,,24.0,mg/L,,,8.4,deg C,0.49,mg/L,260.0,mg/L,260.0,mg/L,,,150.0,NTU,8.4,
21IOWA_WQX-10540001,2024-05-02 12:00:00,0.12,mg/L,20.0,mg/L,41.0,ug/L,1.3,ug/L,8.5,mg/L,3600.0,MPN/100mL,3.4,mg/L,,,,,4.8,mg/L,,,0.09,mg/L,,,,,21.0,mg/L,,,15.9,deg C,0.81,mg/L,250.0,mg/L,920.0,mg/L,,,400.0,NTU,7.9,
21IOWA_WQX-10540001,2024-06-04 08:30:00,,,23.0,mg/L,14.0,ug/L,3.5,ug/L,7.5,mg/L,160.0,MPN/100mL,1.2,mg/L,,,,,11.0,mg/L,,,0.08,mg/L,,,,,24.0,mg/L,,,21.6,deg C,0.32,mg/L,300.0,mg/L,160.0,mg/L,,,70.0,NTU,7.9,
21IOWA_WQX-10540001,2024-07-02 09:15:00,,,23.0,mg/L,10.0,ug/L,3.9,ug/L,7.9,mg/L,700.0,MPN/100mL,0.88,mg/L,,,,,8.7,mg/L,,,0.12,mg/L,,,,,22.0,mg/L,,,21.1,deg C,0.32,mg/L,310.0,mg/L,150.0,mg/L,,,75.0,NTU,8.0,
21IOWA_WQX-10540001,2024-08-05 08:30:00,,,24.0,mg/L,100.0,ug/L,2.1,ug/L,7.5,mg/L,120.0,MPN/100mL,0.97,mg/L,,,,,5.1,mg/L,,,0.1,mg/L,,,,,24.0,mg/L,,,26.7,deg C,0.29,mg/L,330.0,mg/L,52.0,mg/L,,,29.0,NTU,8.2,
21IOWA_WQX-10540001,2024-09-04 08:20:00,,,22.0,mg/L,55.0,ug/L,2.4,ug/L,8.4,mg/L,98.0,MPN/100mL,0.62,mg/L,,,,,0.73,mg/L,,,0.05,mg/L,,,,,35.0,mg/L,,,20.0,deg C,0.13,mg/L,290.0,mg/L,16.0,mg/L,,,4.6,NTU,8.3,
21IOWA_WQX-10540001,2024-10-03 08:20:00,0.09,mg/L,28.0,mg/L,3.0,ug/L,1.2,ug/L,8.5,mg/L,260.0,MPN/100mL,,,,,,,0.31,mg/L,,,0.04,mg/L,,,,,48.0,mg/L,,,15.0,deg C,0.07,mg/L,320.0,mg/L,8.0,mg/L,,,3.7,NTU,8.1,
21IOWA_WQX-10540001,2024-11-06 08:45:00,0.07,mg/L,26.0,mg/L,7.0,ug/L,1.9,ug/L,9.1,mg/L,1600.0,MPN/100mL,0.87,mg/L,,,,,6.4,mg/L,,,0.14,mg/L,,,,,25.0,mg/L,,,13.1,deg C,0.34,mg/L,310.0,mg/L,69.0,mg/L,,,45.0,NTU,7.8,
21IOWA_WQX-10540001,2024-12-04 08:20:00,0.05,mg/L,30.0,mg/L,1.0,ug/L,,,13.7,mg/L,85.0,MPN/100mL,0.52,mg/L,,,,,7.9,mg/L,,,0.03,mg/L,,,,,32.0,mg/L,,,0.4,deg C,0.06,mg/L,340.0,mg/L,11.0,mg/L,,,4.3,NTU,8.1,
21IOWA_WQX-10540001,2025-01-07 08:50:00,,,30.0,mg/L,2.0,ug/L,,,13.6,mg/L,31.0,MPN/100mL,0.72,mg/L,,,,,21.0,mg/L,,,0.04,mg/L,,,,,25.0,mg/L,,,0.4,deg C,0.06,mg/L,360.0,mg/L,6.0,mg/L,,,6.7,NTU,8.2,
21IOWA_WQX-10540001,2025-02-11 08:15:00,,,28.0,mg/L,3.0,ug/L,,,14.5,mg/L,,,,,,,,,5.4,mg/L,,,,,,,,,47.0,mg/L,,,0.1,deg C,0.04,mg/L,350.0,mg/L,2.0,mg/L,,,3.1,NTU,8.1,
21IOWA_WQX-10540001,2025-03-04 08:25:00,,,23.0,mg/L,10.0,ug/L,2.6,ug/L,12.4,mg/L,10.0,MPN/100mL,,,,,,,3.9,mg/L,,,,,,,,,23.0,mg/L,,,4.9,deg C,0.06,mg/L,260.0,mg/L,8.0,mg/L,,,3.6,NTU,8.1,
21IOWA_WQX-10540001,2025-04-02 08:30:00,,,25.0,mg/L,24.0,ug/L,2.6,ug/L,10.3,mg/L,210.0,MPN/100mL,,,,,,,4.4,mg/L,,,0.03,mg/L,,,,,26.0,mg/L,,,9.4,deg C,0.12,mg/L,290.0,mg/L,44.0,mg/L,,,18.0,NTU,8.3,
21IOWA_WQX-10550001,2024-01-10 10:00:00,,,44.0,mg/L,5.0,ug/L,1.2,ug/L,13.0,mg/L,40.0,MPN/100mL,0.64,mg/L,,,,,7.7,mg/L,,,0.08,mg/L,,,,,54.0,mg/L,,,0.4,deg C,0.11,mg/L,540.0,mg/L,4.0,mg/L,,,2.2,NTU,8.1,
21IOWA_WQX-10550001,2024-02-01 10:00:00,0.18,mg/L,42.0,mg/L,2.0,ug/L,1.4,ug/L,9.3,mg/L,200.0,MPN/100mL,0.7,mg/L,,,,,5.0,mg/L,,,0.17,mg/L,,,,,72.0,mg/L,,,1.8,deg C,0.21,mg/L,580.0,mg/L,2.0,mg/L,,,2.8,NTU,7.4,
21IOWA_WQX-10550001,2024-03-13 09:40:00,,,36.0,mg/L,41.0,ug/L,1.4,ug/L,10.3,mg/L,63.0,MPN/100mL,0.86,mg/L,,,,,1.7,mg/L,,,0.04,mg/L,,,,,52.0,mg/L,,,8.5,deg C,0.45,mg/L,370.0,mg/L,20.0,mg/L,,,10.0,NTU,8.3,
21IOWA_WQX-10550001,2024-04-04 09:40:00,,,37.0,mg/L,21.0,ug/L,1.5,ug/L,11.7,mg/L,10.0,MPN/100mL,0.98,mg/L,,,,,9.9,mg/L,,,0.05,mg/L,,,,,35.0,mg/L,,,6.2,deg C,0.12,mg/L,460.0,mg/L,33.0,mg/L,,,12.0,NTU,8.1,
21IOWA_WQX-10550001,2024-05-08 10:00:00,,,29.0,mg/L,3.0,ug/L,1.5,ug/L,6.8,mg/L,230.0,MPN/100mL,0.83,mg/L,,,,,16.0,mg/L,,,0.24,mg/L,,,,,23.0,mg/L,,,15.3,deg C,0.3,mg/L,440.0,mg/L,10.0,mg/L,,,18.0,NTU,7.8,
21IOWA_WQX-10550001,2024-06-06 09:45:00,,,22.0,mg/L,7.0,ug/L,2.0,ug/L,6.8,mg/L,520.0,MPN/100mL,1.2,mg/L,,,,,12.0,mg/L,,,0.2,mg/L,,,,,24.0,mg/L,,,18.7,deg C,0.28,mg/L,390.0,mg/L,26.0,mg/L,,,28.0,NTU,7.8,
21IOWA_WQX-10550001,2024-07-03 10:15:00,,,18.0,mg/L,12.0,ug/L,1.3,ug/L,6.8,mg/L,380.0,MPN/100mL,0.81,mg/L,,,,,7.6,mg/L,,,0.23,mg/L,,,,,21.0,mg/L,,,20.8,deg C,0.22,mg/L,350.0,mg/L,13.0,mg/L,,,9.7,NTU,7.8,
21IOWA_WQX-10550001,2024-08-13 10:55:00,,,23.0,mg/L,150.0,ug/L,1.8,ug/L,8.7,mg/L,63.0,MPN/100mL,1.7,mg/L,,,,,1.6,mg/L,,,0.1,mg/L,,,,,38.0,mg/L,,,20.7,deg C,0.26,mg/L,400.0,mg/L,72.0,mg/L,,,31.0,NTU,8.3,
21IOWA_WQX-10550001,2024-09-04 10:25:00,,,23.0,mg/L,51.0,ug/L,2.0,ug/L,8.1,mg/L,790.0,MPN/100mL,1.2,mg/L,,,,,1.8,mg/L,,,0.11,mg/L,,,,,43.0,mg/L,,,19.6,deg C,0.29,mg/L,440.0,mg/L,77.0,mg/L,,,36.0,NTU,8.2,
21IOWA_WQX-10550001,2024-10-02 10:00:00,0.06,mg/L,34.0,mg/L,120.0,ug/L,1.2,ug/L,10.3,mg/L,260.0,MPN/100mL,1.3,mg/L,,,,,,,,,0.09,mg/L,,,,,71.0,mg/L,,,15.3,deg C,0.25,mg/L,440.0,mg/L,45.0,mg/L,,,27.0,NTU,8.3,
21IOWA_WQX-10550001,2024-11-13 09:50:00,,,33.0,mg/L,9.0,ug/L,1.3,ug/L,9.6,mg/L,330.0,MPN/100mL,,,,,,,0.54,mg/L,,,0.19,mg/L,,,,,77.0,mg/L,,,6.8,deg C,0.27,mg/L,510.0,mg/L,13.0,mg/L,,,9.3,NTU,7.9,
21IOWA_WQX-10550001,2024-12-11 10:00:00,,,50.0,mg/L,120.0,ug/L,2.1,ug/L,13.2,mg/L,41.0,MPN/100mL,0.78,mg/L,,,,,6.2,mg/L,,,0.06,mg/L,,,,,80.0,mg/L,,,0.0,deg C,0.2,mg/L,610.0,mg/L,14.0,mg/L,,,6.8,NTU,7.9,
21IOWA_WQX-10550001,2025-01-14 09:50:00,,,50.0,mg/L,36.0,ug/L,1.1,ug/L,15.8,mg/L,31.0,MPN/100mL,1.2,mg/L,,,,,9.8,mg/L,,,0.1,mg/L,,,,,80.0,mg/L,,,0.5,deg C,0.19,mg/L,640.0,mg/L,5.0,mg/L,,,4.0,NTU,7.8,
21IOWA_WQX-10550001,2025-02-10 10:40:00,,,41.0,mg/L,45.0,ug/L,1.1,ug/L,16.2,mg/L,,,1.1,mg/L,,,,,3.3,mg/L,,,0.06,mg/L,,,,,89.0,mg/L,,,0.0,deg C,0.2,mg/L,570.0,mg/L,7.0,mg/L,,,4.0,NTU,8.0,
21IOWA_WQX-10550001,2025-03-11 10:45:00,0.53,mg/L,16.0,mg/L,15.0,ug/L,8.2,ug/L,12.0,mg/L,240.0,MPN/100mL,3.2,mg/L,,,,,4.4,mg/L,,,0.8,mg/L,,,,,18.0,mg/L,,,0.6,deg C,1.2,mg/L,240.0,mg/L,200.0,mg/L,,,130.0,NTU,7.7,
21IOWA_WQX-10550001,2025-04-08 10:45:00,,,27.0,mg/L,24.0,ug/L,1.9,ug/L,11.2,mg/L,63.0,MPN/100mL,1.8,mg/L,,,,,12.0,mg/L,,,0.06,mg/L,,,,,32.0,mg/L,,,6.2,deg C,0.16,mg/L,420.0,mg/L,60.0,mg/L,,,22.0,NTU,8.5,
21IOWA_WQX-10560002,2024-01-11 08:55:00,,,38.0,mg/L,120.0,ug/L,2.0,ug/L,14.5,mg/L,31.0,MPN/100mL,0.94,mg/L,,,,,0.24,mg/L,,,,,,,,,60.0,mg/L,,,0.5,deg C,0.16,mg/L,360.0,mg/L,15.0,mg/L,,,,,8.9,
21IOWA_WQX-10560002,2024-02-08 08:15:00,0.17,mg/L,32.0,mg/L,12.0,ug/L,2.1,ug/L,12.4,mg/L,97.0,MPN/100mL,0.86,mg/L,,,,,6.7,mg/L,,,0.16,mg/L,,,,,33.0,mg/L,,,3.1,deg C,0.29,mg/L,320.0,mg/L,54.0,mg/L,,,34.0,NTU,7.5,
21IOWA_WQX-10560002,2024-03-14 08:50:00,0.16,mg/L,11.0,mg/L,37.0,ug/L,1.1,ug/L,9.9,mg/L,24000.0,MPN/100mL,4.5,mg/L,,,,,1.6,mg/L,,,0.16,mg/L,,,,,12.0,mg/L,,,11.2,deg C,1.5,mg/L,150.0,mg/L,1580.0,mg/L,,,700.0,NTU,8.0,
21IOWA_WQX-10560002,2024-04-09 08:45:00,,,34.0,mg/L,42.0,ug/L,2.6,ug/L,12.3,mg/L,86.0,MPN/100mL,1.0,mg/L,,,,,9.2,mg/L,,,0.13,mg/L,,,,,31.0,mg/L,,,12.7,deg C,0.27,mg/L,340.0,mg/L,88.0,mg/L,,,33.0,NTU,8.5,
21IOWA_WQX-10560002,2024-05-08 08:30:00,,,28.0,mg/L,14.0,ug/L,8.0,ug/L,8.4,mg/L,600.0,MPN/100mL,1.4,mg/L,,,,,13.0,mg/L,,,0.12,mg/L,,,,,24.0,mg/L,,,17.8,deg C,0.49,mg/L,360.0,mg/L,340.0,mg/L,,,140.0,NTU,8.0,
21IOWA_WQX-10560002,2024-06-10 08:40:00,,,26.0,mg/L,12.0,ug/L,4.7,ug/L,7.9,mg/L,390.0,MPN/100mL,1.4,mg/L,,,,,10.0,mg/L,,,0.17,mg/L,,,,,29.0,mg/L,,,21.2,deg C,0.49,mg/L,370.0,mg/L,250.0,mg/L,,,120.0,NTU,8.0,
21IOWA_WQX-10560002,2024-07-09 08:30:00,,,23.0,mg/L,8.0,ug/L,1.8,ug/L,7.5,mg/L,670.0,MPN/100mL,1.1,mg/L,,,,,11.0,mg/L,,,0.2,mg/L,,,,,23.0,mg/L,,,23.7,deg C,0.47,mg/L,350.0,mg/L,220.0,mg/L,,,110.0,NTU,8.0,
21IOWA_WQX-10560002,2024-08-07 08:30:00,,,21.0,mg/L,27.0,ug/L,3.1,ug/L,7.5,mg/L,210.0,MPN/100mL,1.0,mg/L,,,,,6.0,mg/L,,,0.22,mg/L,,,,,23.0,mg/L,,,25.5,deg C,0.4,mg/L,370.0,mg/L,120.0,mg/L,,,70.0,NTU,8.2,
21IOWA_WQX-10560002,2024-09-11 08:40:00,,,27.0,mg/L,55.0,ug/L,1.9,ug/L,8.5,mg/L,31.0,MPN/100mL,0.57,mg/L,,,,,,,,,0.05,mg/L,,,,,39.0,mg/L,,,19.4,deg C,0.22,mg/L,340.0,mg/L,58.0,mg/L,,,27.0,NTU,8.5,
21IOWA_WQX-10560002,2024-10-07 10:30:00,,,31.0,mg/L,41.0,ug/L,1.9,ug/L,8.8,mg/L,86.0,MPN/100mL,0.6,mg/L,,,,,,,,,0.05,mg/L,,,,,48.0,mg/L,,,16.8,deg C,0.21,mg/L,360.0,mg/L,37.0,mg/L,,,22.0,NTU,8.4,
21IOWA_WQX-10560002,2024-11-07 09:00:00,,,27.0,mg/L,93.0,ug/L,5.4,ug/L,9.6,mg/L,510.0,MPN/100mL,1.7,mg/L,,,,,1.8,mg/L,,,0.09,mg/L,,,,,39.0,mg/L,,,12.6,deg C,0.42,mg/L,310.0,mg/L,300.0,mg/L,,,95.0,NTU,8.0,
21IOWA_WQX-10560002,2024-12-05 08:35:00,,,34.0,mg/L,5.0,ug/L,1.2,ug/L,14.4,mg/L,20.0,MPN/100mL,,,,,,,6.8,mg/L,,,0.12,mg/L,,,,,42.0,mg/L,,,0.1,deg C,0.16,mg/L,410.0,mg/L,17.0,mg/L,,,3.8,NTU,8.5,
21IOWA_WQX-10560002,2025-01-08 09:00:00,0.08,mg/L,34.0,mg/L,4.0,ug/L,1.0,ug/L,14.2,mg/L,41.0,MPN/100mL,0.74,mg/L,,,,,8.6,mg/L,,,0.12,mg/L,,,,,32.0,mg/L,,,0.2,deg C,0.16,mg/L,390.0,mg/L,12.0,mg/L,,,6.2,NTU,8.4,
21IOWA_WQX-10560002,2025-02-06 09:00:00,0.35,mg/L,25.0,mg/L,6.0,ug/L,2.3,ug/L,13.1,mg/L,280.0,MPN/100mL,1.3,mg/L,,,,,5.5,mg/L,,,0.36,mg/L,,,,,26.0,mg/L,,,0.3,deg C,0.5,mg/L,300.0,mg/L,36.0,mg/L,,,35.0,NTU,8.1,
21IOWA_WQX-10560002,2025-03-10 08:50:00,0.15,mg/L,33.0,mg/L,20.0,ug/L,2.3,ug/L,12.3,mg/L,170.0,MPN/100mL,1.6,mg/L,,,,,6.7,mg/L,,,0.15,mg/L,,,,,29.0,mg/L,,,4.3,deg C,0.52,mg/L,300.0,mg/L,320.0,mg/L,,,140.0,NTU,8.1,
21IOWA_WQX-10560002,2025-04-07 09:15:00,,,31.0,mg/L,27.0,ug/L,1.2,ug/L,11.1,mg/L,63.0,MPN/100mL,0.58,mg/L,,,,,7.0,mg/L,,,0.08,mg/L,,,,,33.0,mg/L,,,9.0,deg C,0.23,mg/L,340.0,mg/L,90.0,mg/L,,,32.0,NTU,8.3,
21IOWA_WQX-10570001,2024-01-04 12:25:00,,,42.0,mg/L,15.0,ug/L,,,15.2,mg/L,85.0,MPN/100mL,0.51,mg/L,,,,,3.5,mg/L,,,0.19,mg/L,,,,,44.0,mg/L,,,1.5,deg C,0.22,mg/L,380.0,mg/L,3.0,mg/L,,,1.6,NTU,8.5,
21IOWA_WQX-10570001,2024-02-06 12:40:00,,,45.0,mg/L,10.0,ug/L,,,14.8,mg/L,,,0.56,mg/L,,,,,5.9,mg/L,,,0.18,mg/L,,,,,37.0,mg/L,,,2.2,deg C,0.23,mg/L,360.0,mg/L,6.0,mg/L,,,2.4,NTU,9.1,
21IOWA_WQX-10570001,2024-03-13 12:10:00,,,41.0,mg/L,210.0,ug/L,,,17.9,mg/L,6500.0,MPN/100mL,1.6,mg/L,,,,,1.1,mg/L,,,0.02,mg/L,,,,,39.0,mg/L,,,12.1,deg C,0.22,mg/L,260.0,mg/L,30.0,mg/L,,,9.5,NTU,9.3,
21IOWA_WQX-10570001,2024-04-03 11:20:00,,,48.0,mg/L,150.0,ug/L,2.1,ug/L,13.3,mg/L,98.0,MPN/100mL,2.4,mg/L,,,,,5.6,mg/L,,,0.05,mg/L,,,,,33.0,mg/L,,,5.8,deg C,0.26,mg/L,340.0,mg/L,51.0,mg/L,,,20.0,NTU,8.2,
21IOWA_WQX-10570001,2024-05-06 12:20:00,0.12,mg/L,36.0,mg/L,38.0,ug/L,1.8,ug/L,9.3,mg/L,190.0,MPN/100mL,1.3,mg/L,,,,,12.0,mg/L,,,0.07,mg/L,,,,,26.0,mg/L,,,16.7,deg C,0.22,mg/L,370.0,mg/L,91.0,mg/L,,,32.0,NTU,8.1,
21IOWA_WQX-10570001,2024-06-05 12:20:00,0.05,mg/L,31.0,mg/L,27.0,ug/L,1.7,ug/L,8.6,mg/L,140.0,MPN/100mL,0.84,mg/L,,,,,14.0,mg/L,,,0.12,mg/L,,,,,29.0,mg/L,,,22.4,deg C,0.24,mg/L,370.0,mg/L,60.0,mg/L,,,14.0,NTU,8.0,
21IOWA_WQX-10570001,2024-07-08 12:20:00,0.07,mg/L,18.0,mg/L,7.0,ug/L,2.2,ug/L,7.1,mg/L,370.0,MPN/100mL,0.92,mg/L,,,,,12.0,mg/L,,,0.18,mg/L,,,,,17.0,mg/L,,,22.5,deg C,0.27,mg/L,320.0,mg/L,32.0,mg/L,,,21.0,NTU,7.9,
21IOWA_WQX-10570001,2024-08-05 12:45:00,,,26.0,mg/L,170.0,ug/L,1.1,ug/L,13.3,mg/L,130.0,MPN/100mL,1.8,mg/L,,,,,6.0,mg/L,,,,,,,,,29.0,mg/L,,,29.2,deg C,0.16,mg/L,300.0,mg/L,51.0,mg/L,,,17.0,NTU,8.5,
21IOWA_WQX-10570001,2024-09-09 12:40:00,,,33.0,mg/L,180.0,ug/L,1.2,ug/L,14.4,mg/L,20.0,MPN/100mL,1.7,mg/L,,,,,1.6,mg/L,,,,,,,,,37.0,mg/L,,,21.0,deg C,0.2,mg/L,280.0,mg/L,44.0,mg/L,,,17.0,NTU,8.9,
21IOWA_WQX-10570001,2024-10-01 12:55:00,0.14,mg/L,38.0,mg/L,200.0,ug/L,1.1,ug/L,14.6,mg/L,52.0,MPN/100mL,1.8,mg/L,,,,,1.4,mg/L,,,,,,,,,41.0,mg/L,,,20.2,deg C,0.22,mg/L,290.0,mg/L,45.0,mg/L,,,18.0,NTU,8.8,
21IOWA_WQX-10570001,2024-11-04 13:10:00,,,33.0,mg/L,65.0,ug/L,2.0,ug/L,10.7,mg/L,2300.0,MPN/100mL,0.7,mg/L,,,,,4.1,mg/L,,,0.15,mg/L,,,,,30.0,mg/L,,,12.7,deg C,0.25,mg/L,310.0,mg/L,32.0,mg/L,,,19.0,NTU,8.2,
21IOWA_WQX-10570001,2024-12-02 13:30:00,0.24,mg/L,38.0,mg/L,6.0,ug/L,,,14.9,mg/L,41.0,MPN/100mL,0.73,mg/L,,,,,4.8,mg/L,,,0.18,mg/L,,,,,37.0,mg/L,,,1.0,deg C,0.21,mg/L,410.0,mg/L,3.0,mg/L,,,2.8,NTU,8.4,
21IOWA_WQX-10570001,2025-01-02 12:55:00,,,38.0,mg/L,6.0,ug/L,,,14.2,mg/L,98.0,MPN/100mL,0.61,mg/L,,,,,7.0,mg/L,,,0.11,mg/L,,,,,36.0,mg/L,,,0.8,deg C,0.14,mg/L,370.0,mg/L,4.0,mg/L,,,2.5,NTU,8.2,
21IOWA_WQX-10570001,2025-02-03 11:50:00,0.12,mg/L,39.0,mg/L,17.0,ug/L,,,14.5,mg/L,63.0,MPN/100mL,0.72,mg/L,,,,,5.3,mg/L,,,0.13,mg/L,,,,,40.0,mg/L,,,2.1,deg C,0.17,mg/L,380.0,mg/L,6.0,mg/L,,,2.1,NTU,8.5,
21IOWA_WQX-10570001,2025-03-03 13:05:00,0.13,mg/L,37.0,mg/L,7.0,ug/L,1.1,ug/L,14.1,mg/L,20.0,MPN/100mL,0.75,mg/L,,,,,4.6,mg/L,,,0.14,mg/L,,,,,34.0,mg/L,,,5.0,deg C,0.19,mg/L,330.0,mg/L,3.0,mg/L,,,2.0,NTU,8.5,
21IOWA_WQX-10570001,2025-04-01 12:10:00,0.09,mg/L,34.0,mg/L,160.0,ug/L,1.5,ug/L,13.3,mg/L,20.0,MPN/100mL,1.3,mg/L,,,,,6.0,mg/L,,,0.06,mg/L,,,,,34.0,mg/L,,,9.8,deg C,0.13,mg/L,360.0,mg/L,33.0,mg/L,,,12.0,NTU,9.0,
21IOWA_WQX-10580002,2024-01-11 11:05:00,0.11,mg/L,55.0,mg/L,11.0,ug/L,1.1,ug/L,13.9,mg/L,63.0,MPN/100mL,0.79,mg/L,,,,,0.92,mg/L,,,,,,,,,52.0,mg/L,,,0.5,deg C,0.17,mg/L,360.0,mg/L,6.0,mg/L,,,,,8.5,
21IOWA_WQX-10580002,2024-02-08 11:45:00,0.1,mg/L,69.0,mg/L,90.0,ug/L,2.6,ug/L,12.0,mg/L,140.0,MPN/100mL,0.93,mg/L,,,,,3.4,mg/L,,,0.11,mg/L,,,,,52.0,mg/L,,,6.4,deg C,0.28,mg/L,390.0,mg/L,92.0,mg/L,,,16.0,NTU,7.5,
21IOWA_WQX-10580002,2024-03-14 12:20:00,,,50.0,mg/L,87.0,ug/L,1.0,ug/L,10.5,mg/L,41.0,MPN/100mL,1.0,mg/L,,,,,1.5,mg/L,,,0.09,mg/L,,,,,41.0,mg/L,,,12.6,deg C,0.24,mg/L,300.0,mg/L,38.0,mg/L,,,16.0,NTU,8.6,
21IOWA_WQX-10580002,2024-04-09 12:00:00,,,40.0,mg/L,41.0,ug/L,2.0,ug/L,11.1,mg/L,41.0,MPN/100mL,0.98,mg/L,,,,,3.6,mg/L,,,0.08,mg/L,,,,,37.0,mg/L,,,12.7,deg C,0.22,mg/L,310.0,mg/L,43.0,mg/L,,,20.0,NTU,8.3,
21IOWA_WQX-10580002,2024-05-08 11:25:00,,,34.0,mg/L,43.0,ug/L,2.8,ug/L,8.8,mg/L,960.0,MPN/100mL,0.98,mg/L,,,,,8.5,mg/L,,,0.06,mg/L,,,,,27.0,mg/L,,,19.5,deg C,0.25,mg/L,350.0,mg/L,120.0,mg/L,,,40.0,NTU,8.2,
21IOWA_WQX-10580002,2024-06-10 11:30:00,,,26.0,mg/L,24.0,ug/L,1.0,ug/L,8.5,mg/L,63.0,MPN/100mL,1.0,mg/L,,,,,10.0,mg/L,,,0.18,mg/L,,,,,28.0,mg/L,,,22.1,deg C,0.28,mg/L,390.0,mg/L,46.0,mg/L,,,23.0,NTU,8.1,
21IOWA_WQX-10580002,2024-07-09 11:40:00,,,27.0,mg/L,13.0,ug/L,1.5,ug/L,7.8,mg/L,490.0,MPN/100mL,0.65,mg/L,,,,,11.0,mg/L,,,0.17,mg/L,,,,,25.0,mg/L,,,24.6,deg C,0.3,mg/L,350.0,mg/L,84.0,mg/L,,,38.0,NTU,8.1,
21IOWA_WQX-10580002,2024-08-07 11:10:00,,,23.0,mg/L,30.0,ug/L,1.0,ug/L,8.0,mg/L,74.0,MPN/100mL,,,,,,,5.5,mg/L,,,0.16,mg/L,,,,,21.0,mg/L,,,25.6,deg C,0.24,mg/L,330.0,mg/L,40.0,mg/L,,,23.0,NTU,8.2,
